attendance,study_hours,assignment_delay,lms_usage,performance,burnout_level
83,4,2,5,68,Low
58,4,1,3,61,Low
84,2,1,7,60,Low
80,3,2,2,46,Medium
59,5,2,6,70,Medium
76,3,2,6,65,Medium
68,3,0,8,71,Low
68,5,2,8,81,Low
67,7,0,6,100,Low
73,4,2,5,68,Medium
69,2,2,10,60,Medium
92,3,3,8,71,Medium
69,2,1,3,50,Low
77,2,2,7,42,Medium
87,2,5,6,44,Medium
81,4,3,3,61,Low
74,3,1,7,74,Low
64,4,4,5,62,Medium
77,4,2,5,66,Medium
67,2,0,6,55,Low
79,8,2,7,100,Low
84,4,2,6,64,Medium
73,3,3,3,48,Medium
86,5,2,7,89,Low
75,2,0,4,54,Low
76,5,2,6,77,Low
66,4,0,6,82,Low
73,6,2,4,78,Low
71,4,2,5,68,Medium
84,2,0,7,62,Low
63,1,3,7,40,Medium
70,5,0,5,81,Low
76,3,4,5,46,Medium
71,3,2,8,59,Low
90,4,1,7,79,Low
82,3,5,4,48,Medium
88,6,2,3,88,Low
95,4,1,5,74,Low
87,3,0,6,81,Low
85,3,0,8,79,Low
88,5,3,9,85,Medium
76,4,4,6,65,Medium
71,3,0,1,62,Low
73,4,2,7,70,Medium
73,4,2,8,84,Low
82,6,2,2,77,Low
70,5,4,5,64,Medium
77,8,3,1,88,Low
88,5,2,3,73,Low
69,5,4,6,56,Medium
87,3,2,5,62,Medium
74,5,1,4,79,Low
92,3,2,7,66,Low
60,6,1,10,92,Low
90,7,5,7,94,Medium
83,3,1,5,69,Low
82,5,2,8,84,Low
68,1,2,5,49,Medium
65,7,4,6,78,Low
71,6,5,8,71,Medium
76,1,2,5,41,Medium
80,3,0,1,59,Low
92,3,1,6,70,Low
83,6,2,5,80,Low
73,5,3,3,66,Medium
75,3,0,7,77,Low
76,5,0,4,84,Low
78,2,3,5,40,Medium
68,3,2,7,55,Medium
79,5,2,4,69,Low
64,0,3,7,40,Medium
81,7,2,4,89,Low
69,3,1,3,53,Medium
78,4,2,2,62,Low
73,9,2,4,96,Low
76,2,3,4,49,Medium
71,6,2,7,88,Low
69,6,2,4,72,Low
96,2,2,8,70,Medium
64,5,2,7,81,Medium
81,4,2,4,71,Low
77,6,0,7,100,Low
54,3,4,5,40,Medium
83,5,2,4,75,Low
91,4,4,8,75,Medium
79,4,1,6,71,Low
70,4,2,4,67,Low
84,2,2,9,60,Medium
80,4,3,6,75,Medium
79,4,3,9,71,Medium
86,4,0,7,82,Low
78,4,3,4,65,Medium
82,5,1,7,88,Low
79,7,2,4,90,Low
83,2,0,3,57,Medium
74,4,2,7,66,Medium
85,5,2,7,68,Low
68,1,3,8,46,Medium
91,6,4,6,82,Low
73,3,5,5,40,High
75,7,1,5,90,Low
69,4,1,4,56,Low
60,5,2,2,59,Low
78,6,0,5,94,Low
77,3,2,3,62,Low
94,4,1,2,61,Low
78,5,0,7,87,Low
91,5,2,3,70,Low
73,3,2,5,55,Medium
77,5,0,8,89,Low
82,4,3,6,64,Medium
64,4,2,5,62,Low
70,4,2,3,65,Low
85,5,1,9,86,Low
85,3,4,4,52,Medium
74,5,3,2,66,Low
85,6,0,4,85,Low
72,5,4,8,71,Medium
58,3,3,8,47,Medium
75,4,1,6,76,Low
80,4,1,5,71,Low
72,6,3,4,83,Low
87,5,2,6,72,Low
63,4,5,9,68,Medium
57,3,1,4,55,Low
55,5,0,5,88,Low
50,4,4,9,51,Medium
70,4,6,2,40,High
86,4,2,4,69,Low
81,3,3,5,68,Medium
57,6,1,4,75,Low
54,9,4,5,89,Low
80,5,3,5,72,Low
73,6,3,1,67,Low
75,3,4,7,56,Medium
65,2,1,7,61,Medium
82,5,1,6,88,Low
87,5,3,7,84,Low
73,3,1,5,58,Low
56,4,2,3,60,Medium
59,3,1,3,56,Low
72,1,3,3,40,Medium
89,2,0,5,77,Low
77,3,3,3,52,Medium
86,8,3,4,98,Low
68,3,1,5,60,Medium
75,4,2,5,74,Low
68,4,0,3,63,Low
78,4,3,5,65,Medium
78,3,0,5,77,Low
85,6,2,5,83,Low
81,6,2,4,82,Low
61,1,1,3,40,Medium
70,6,2,6,85,Low
85,4,3,3,51,Medium
79,3,1,7,65,Medium
66,5,2,6,74,Low
75,2,3,4,45,Medium
49,4,6,7,41,High
75,5,0,7,93,Low
79,4,3,6,66,Medium
76,6,0,2,87,Low
77,4,2,8,73,Low
74,2,2,8,58,Medium
62,3,1,4,62,Medium
64,4,3,7,77,Medium
67,2,2,6,58,Medium
72,4,1,9,78,Low
95,4,2,4,74,Low
53,6,0,4,83,Low
59,5,5,2,44,Medium
79,4,1,6,86,Low
82,2,1,6,72,Low
72,4,0,6,83,Low
70,4,1,5,82,Low
71,3,3,5,48,Medium
89,3,0,7,78,Low
55,5,0,6,83,Low
71,5,2,6,86,Low
91,4,1,2,73,Low
74,6,0,5,88,Low
84,3,0,5,79,Low
87,2,3,7,52,Medium
70,4,3,4,55,Medium
64,2,3,3,41,Medium
58,3,4,3,40,Medium
83,4,1,8,89,Low
76,3,1,6,69,Medium
82,2,4,3,40,Medium
95,9,3,5,100,Low
72,7,2,6,92,Low
83,3,1,3,63,Low
80,7,2,6,88,Low
82,5,2,5,74,Low
84,5,3,5,74,Low
82,5,3,4,57,Medium
70,3,3,4,52,Medium
82,2,4,6,44,Medium
57,5,0,2,57,Low
69,6,1,2,71,Low
73,3,2,6,67,Medium
71,2,1,6,49,Low
78,4,2,3,62,Low
84,6,0,3,80,Low
74,2,1,3,51,Low
68,4,1,4,77,Low
62,5,3,3,63,Medium
64,3,4,6,48,Medium
79,2,4,7,51,Medium
60,5,3,5,68,Medium
81,2,2,5,57,Medium
74,5,1,2,79,Low
62,5,1,6,77,Low
67,3,1,3,57,Low
82,6,1,5,96,Low
76,5,3,3,70,Medium
67,4,3,5,63,Medium
67,2,2,6,48,Medium
62,5,1,8,95,Low
70,5,1,5,78,Low
75,3,1,8,65,Medium
72,4,3,6,61,Medium
72,3,0,3,76,Low
61,2,3,6,48,Medium
74,4,2,1,57,Low
77,8,3,4,100,Low
79,5,5,3,56,Medium
81,3,1,4,64,Medium
63,4,1,2,59,Low
99,5,0,4,94,Low
59,1,5,6,40,High
49,4,2,7,55,Medium
66,4,1,4,66,Low
84,4,2,2,57,Low
100,2,4,7,60,Medium
79,5,2,7,86,Low
62,4,1,5,71,Low
75,4,3,1,46,Medium
87,3,0,6,76,Low
69,4,1,1,59,Medium
82,2,2,5,60,Medium
68,4,3,8,74,Medium
76,6,3,3,83,Low
71,3,2,6,61,Medium
92,6,2,7,86,Low
93,4,1,4,69,Low
71,2,2,7,49,Medium
80,6,1,7,86,Low
77,5,0,3,81,Low
80,2,3,3,41,Medium
68,5,2,4,61,Low
78,2,2,4,51,Medium
72,5,2,6,76,Low
83,5,0,5,83,Low
78,6,4,2,73,Medium
79,6,5,7,74,Medium
76,4,1,8,76,Medium
80,2,3,1,41,Medium
69,4,5,4,43,High
95,4,4,8,72,Medium
87,7,3,3,93,Low
72,5,4,7,65,Medium
75,5,0,4,83,Low
79,4,5,8,60,Medium
74,3,2,3,50,Medium
81,3,3,4,51,Medium
75,5,1,5,74,Low
73,2,1,4,48,Medium
74,5,3,4,56,Medium
70,3,1,2,57,Low
81,3,1,3,60,Low
81,1,1,6,53,Medium
78,2,2,1,46,Low
84,3,2,4,70,Low
93,5,3,6,85,Low
72,5,2,2,68,Medium
87,4,3,4,53,Medium
91,4,2,4,80,Medium
97,4,2,2,70,Low
77,2,1,3,51,Low
70,5,0,5,91,Low
68,4,4,5,51,Medium
64,5,3,4,62,Low
80,6,1,6,81,Low
75,3,1,4,60,Low
53,1,1,6,40,Medium
70,6,1,6,87,Low
83,4,3,10,73,Medium
72,4,2,4,64,Low
60,5,1,3,64,Low
70,5,1,7,83,Low
73,5,2,8,78,Low
73,4,2,6,66,Medium
91,5,3,4,71,Medium
84,6,1,5,83,Low
85,3,3,5,61,Medium
76,0,2,2,40,Medium
80,6,1,8,100,Low
86,2,1,4,58,Low
87,4,3,4,54,Medium
56,4,0,9,85,Low
88,3,3,5,60,Medium
82,4,0,3,77,Low
64,8,4,6,84,Medium
65,4,2,3,56,Medium
56,3,1,9,66,Low
80,2,4,4,40,Medium
62,2,1,7,48,Low
70,5,4,4,58,Medium
56,3,2,6,54,Medium
50,3,3,3,40,Medium
72,4,1,5,77,Low
69,4,3,1,56,Medium
79,6,0,4,87,Low
92,3,1,5,63,Low
78,4,2,4,54,Medium
93,4,2,6,70,Medium
77,6,1,9,100,Low
77,4,4,5,47,Medium
73,4,2,7,68,Low
57,5,2,6,68,Medium
85,5,2,6,79,Low
91,6,1,6,88,Low
80,1,0,4,52,Low
79,4,2,3,74,Medium
70,3,3,4,51,Medium
56,6,2,4,72,Low
58,6,2,6,85,Low
80,4,3,1,47,Medium
79,5,1,4,75,Low
83,3,0,4,68,Low
63,4,4,6,52,Medium
70,3,0,2,53,Low
74,3,1,6,66,Low
65,3,0,4,66,Low
85,5,0,4,80,Low
63,5,3,9,75,Medium
98,3,0,1,71,Low
71,5,2,6,73,Medium
65,3,1,7,70,Low
87,2,4,8,58,High
58,3,1,6,59,Medium
89,5,2,3,69,Low
83,4,1,1,55,Medium
62,4,4,2,50,Medium
75,8,0,7,100,Low
79,3,2,1,50,Medium
81,6,3,5,76,Low
87,6,2,5,87,Low
82,7,1,4,98,Low
73,3,3,6,49,Medium
87,4,2,6,72,Low
53,5,0,8,86,Low
69,4,4,1,45,Medium
63,2,5,3,40,High
78,3,2,3,55,Medium
80,5,5,5,54,Medium
96,2,1,6,68,Low
86,7,2,3,85,Low
86,5,2,4,68,Low
84,2,4,6,51,Medium
61,4,3,9,70,Medium
65,6,1,8,93,Low
82,4,1,4,72,Low
69,4,2,1,52,Low
63,1,0,2,40,Medium
70,4,3,5,64,Low
90,7,0,3,97,Low
80,3,5,7,52,High
86,3,1,5,76,Low
59,3,2,5,61,Medium
80,6,5,4,70,Medium
77,4,3,1,55,Medium
73,7,1,4,100,Low
70,4,3,5,52,Medium
69,4,3,6,54,Medium
78,6,3,7,90,Low
80,4,5,7,59,Medium
62,4,2,4,61,Medium
82,2,2,3,50,Medium
70,2,2,4,40,Medium
86,3,2,3,68,Medium
77,6,2,2,69,Low
70,4,2,5,63,Low
68,2,3,1,40,Medium
72,0,1,5,40,Medium
90,5,1,2,77,Low
80,3,3,9,74,Medium
73,3,4,4,50,Medium
70,2,2,5,48,Medium
87,3,5,2,40,Medium
67,5,4,1,50,Medium
65,6,1,3,79,Low
57,2,4,9,46,Medium
96,6,3,3,84,Low
78,6,3,3,80,Low
82,6,0,5,93,Low
78,8,0,5,100,Low
74,2,2,3,40,Medium
85,4,2,7,77,Medium
72,6,2,5,74,Low
67,3,1,3,66,Medium
94,2,2,2,48,Low
87,3,4,6,74,Medium
88,6,1,7,100,Low
67,3,5,5,44,Medium
67,6,0,4,85,Low
73,5,3,6,65,Medium
87,5,0,6,85,Low
94,3,1,7,66,Low
81,3,2,6,70,Low
72,5,2,6,71,Low
65,4,1,3,63,Low
83,3,3,6,67,Medium
76,5,2,1,61,Medium
71,3,3,6,62,Medium
82,5,2,6,85,Low
64,5,2,5,74,Low
87,4,0,4,78,Low
81,3,6,6,49,High
80,5,4,7,81,Medium
69,4,3,5,66,Medium
66,3,2,6,54,Medium
79,4,0,2,73,Low
85,4,7,10,58,High
85,7,0,1,88,Low
80,6,0,1,83,Low
55,4,3,5,52,Medium
71,2,1,6,59,Medium
65,4,0,5,79,Low
69,4,4,4,53,Medium
76,7,2,5,91,Low
67,5,2,5,67,Medium
82,3,4,4,49,Medium
57,5,0,3,58,Low
74,4,0,3,66,Low
78,3,2,8,67,Medium
78,4,2,4,62,Medium
65,2,0,2,45,Low
66,5,2,1,61,Medium
65,5,1,5,69,Low
71,4,1,3,58,Low
75,4,1,7,75,Low
87,5,2,4,81,Low
65,3,4,6,46,Medium
69,3,3,2,48,Medium
86,3,2,2,56,Low
88,2,1,5,54,Medium
68,4,1,3,60,Low
71,3,2,8,65,Medium
61,4,0,2,59,Low
84,4,0,5,84,Low
57,3,2,6,42,Medium
76,5,3,6,72,Low
71,6,4,6,73,Medium
69,4,4,3,53,Medium
88,2,3,4,40,Medium
85,3,0,5,70,Low
84,4,5,5,56,Medium
72,4,3,6,52,Medium
82,6,3,7,86,Low
88,2,1,3,56,Medium
69,0,1,7,48,Medium
72,2,3,3,53,Medium
69,3,2,5,62,Medium
68,7,2,7,88,Low
78,1,5,8,40,High
78,4,3,5,70,Medium
81,2,4,8,72,Medium
77,1,3,4,45,Medium
58,3,0,6,59,Low
54,4,4,6,40,Medium
75,5,0,6,73,Low
70,5,2,2,59,Low
74,3,1,6,65,Low
97,2,0,7,70,Low
67,4,4,7,58,Medium
63,0,1,7,49,Medium
75,3,2,7,54,Medium
84,3,3,10,75,Medium
68,4,3,5,59,Medium
90,5,3,5,73,Medium
65,4,1,4,72,Low
63,6,3,4,59,Medium
71,4,1,1,55,Low
81,3,5,1,44,Medium
84,4,4,4,55,Medium
74,4,4,3,57,Medium
74,4,0,3,79,Low
74,4,2,8,79,Low
86,3,4,2,50,Medium
73,1,1,3,40,Medium
85,4,2,3,60,Medium
68,6,2,5,91,Low
74,3,2,6,69,Medium
81,6,3,6,81,Low
79,4,1,5,72,Low
76,3,3,5,52,Medium
68,4,2,6,67,Low
71,5,2,5,80,Low
60,4,1,3,56,Medium
75,4,5,4,56,Medium
67,3,1,6,74,Low
71,4,3,6,70,Low
51,3,4,2,40,Medium
77,2,1,3,57,Low
80,0,1,3,40,Medium
83,1,2,6,60,Medium
78,1,0,7,62,Medium
61,5,5,6,58,Medium
59,6,1,6,77,Low
89,3,4,5,48,Medium
69,5,2,2,64,Medium
80,4,4,5,63,Medium
77,6,1,8,95,Low
85,4,3,4,60,Medium
78,1,0,7,58,Low
61,2,0,5,55,Low
74,5,5,2,52,Medium
67,4,1,5,78,Low
80,3,0,5,79,Low
64,4,1,3,65,Low
65,5,0,2,69,Low
73,3,2,2,52,Medium
71,6,0,7,93,Low
75,4,4,3,46,Medium
69,5,5,4,64,Medium
83,4,3,4,57,Medium
54,4,3,5,59,Medium
68,4,2,2,51,Low
55,4,2,2,53,Medium
77,4,3,6,65,Medium
78,6,1,9,97,Low
68,4,0,4,68,Low
85,5,0,9,100,Low
77,4,1,5,73,Low
68,2,2,6,52,Medium
78,3,3,2,43,Medium
86,5,3,7,81,Low
74,5,2,4,78,Low
68,4,0,1,61,Low
78,1,1,1,42,Medium
88,5,1,3,85,Low
76,3,0,1,61,Low
69,5,4,4,61,Medium
61,4,3,6,55,Medium
66,4,3,8,68,Medium
86,4,4,6,62,Medium
59,5,4,9,75,Medium
69,2,3,6,47,Medium
78,6,4,6,81,Medium
70,5,0,7,85,Low
67,5,2,2,63,Low
84,4,3,3,59,Low
84,7,1,7,92,Low
65,2,0,6,58,Low
82,4,3,5,62,Medium
69,3,2,3,47,Medium
78,3,1,7,70,Medium
87,6,0,7,100,Low
77,5,3,3,74,Low
77,4,2,7,65,Medium
57,3,3,6,53,Medium
79,4,4,7,65,Medium
74,4,0,6,70,Low
64,7,1,5,95,Low
84,2,4,5,42,Medium
83,3,1,5,62,Medium
69,5,2,3,67,Medium
73,6,4,7,76,Low
69,4,3,1,51,Medium
72,6,3,8,85,Low
91,6,0,4,94,Low
82,3,2,1,54,Medium
76,4,4,1,43,Medium
70,7,1,7,99,Low
68,3,4,6,42,Medium
79,5,1,1,74,Low
55,0,3,5,40,High
81,6,0,5,91,Low
73,5,2,6,80,Medium
72,3,2,3,55,Medium
69,3,3,5,50,Medium
66,4,3,2,52,Medium
83,3,3,7,64,Medium
73,3,4,4,40,Medium
67,3,0,4,59,Low
85,5,2,5,80,Low
76,3,1,2,64,Low
81,4,4,4,59,Medium
69,5,3,6,71,Medium
99,6,3,5,91,Low
75,4,2,1,53,Low
91,4,0,5,77,Low
78,5,1,5,79,Low
80,5,2,6,86,Low
76,2,1,5,67,Low
73,3,1,6,59,Medium
68,5,0,6,90,Low
65,4,0,4,79,Low
75,3,3,5,40,Medium
75,6,0,1,79,Low
58,3,6,4,40,High
54,4,2,4,56,Medium
74,2,3,1,40,Medium
80,4,0,4,73,Low
68,5,4,4,62,Medium
82,3,2,4,63,Medium
81,4,2,5,62,Low
74,4,2,7,78,Low
84,2,3,6,46,Medium
70,3,4,4,40,Medium
82,4,4,6,52,Medium
69,5,0,10,98,Low
87,8,3,7,100,Low
70,3,1,2,52,Low
77,4,2,4,78,Medium
63,4,1,3,57,Low
68,5,3,8,72,Medium
81,3,1,8,80,Low
67,2,1,5,47,Medium
58,2,3,6,43,Medium
65,3,3,7,57,Medium
78,3,1,8,74,Low
62,4,4,4,61,Medium
92,4,3,8,84,Low
71,4,0,5,82,Low
90,6,1,6,93,Low
85,2,3,5,49,Medium
92,6,1,2,82,Low
77,6,3,7,85,Low
73,6,2,6,81,Low
74,4,1,5,69,Low
72,6,4,5,66,Low
60,2,4,5,40,Medium
63,5,2,5,73,Medium
73,4,2,10,69,Medium
74,5,1,5,82,Medium
83,3,1,4,52,Low
82,2,4,6,46,Medium
91,5,2,5,81,Low
54,7,2,6,84,Low
73,2,5,3,40,High
88,4,0,8,93,Low
82,8,5,4,86,Medium
80,1,2,3,49,Medium
54,4,4,5,53,Medium
78,4,0,3,71,Low
74,3,2,7,68,Low
82,4,2,8,77,Low
63,4,3,2,47,Medium
75,6,2,8,81,Low
76,2,3,10,61,Medium
76,3,0,4,58,Low
74,3,3,3,45,Medium
85,5,2,5,78,Low
65,4,0,5,70,Medium
75,2,2,6,62,Medium
59,5,0,4,77,Low
82,3,2,5,64,Low
79,5,3,6,71,Low
80,5,1,4,76,Low
85,3,3,5,60,Medium
82,4,5,3,54,Medium
66,4,2,10,76,Low
78,1,2,5,48,Medium
70,4,1,3,64,Low
71,3,3,9,54,Medium
74,4,2,4,61,Medium
85,1,1,5,47,Medium
69,4,3,4,47,Medium
85,3,1,7,77,Low
76,5,6,7,70,Medium
65,4,2,3,55,Medium
79,5,2,4,67,Low
93,4,2,3,85,Low
71,5,3,7,81,Medium
64,4,2,9,63,Medium
77,5,2,3,77,Low
85,4,1,2,70,Low
65,3,1,2,47,Low
71,3,0,9,85,Low
78,5,4,3,65,Medium
62,5,4,10,70,Medium
71,5,0,2,73,Low
69,5,4,6,76,Medium
63,6,1,7,96,Low
60,3,4,5,40,Medium
82,4,2,4,77,Low
72,6,2,3,71,Low
72,6,1,5,85,Low
60,4,2,6,64,Low
86,4,2,5,70,Low
80,1,1,4,52,Medium
67,3,1,3,55,Medium
64,5,0,4,73,Low
72,1,0,5,53,Medium
77,6,1,7,83,Low
57,4,2,5,58,Medium
73,2,4,4,40,High
63,2,0,5,58,Medium
100,1,3,4,40,Medium
66,7,3,5,84,Low
62,1,1,5,42,Medium
61,5,2,6,64,Medium
63,3,3,5,50,Medium
60,6,2,7,80,Low
67,5,1,6,82,Low
69,2,2,3,48,Medium
73,5,3,5,63,Low
68,3,2,4,57,Medium
74,6,3,5,75,Low
66,3,3,5,43,Medium
78,2,1,5,64,Low
85,6,1,4,86,Low
75,5,4,4,52,Medium
78,4,2,5,82,Low
71,3,2,8,70,Medium
70,6,5,6,67,Medium
51,5,2,6,64,Low
71,6,1,9,95,Low
74,3,0,8,82,Low
77,2,1,7,54,Low
73,4,2,6,71,Medium
87,2,3,6,47,Medium
68,3,3,4,42,Medium
86,4,2,5,79,Low
88,4,2,10,86,Low
63,5,5,8,77,Medium
71,1,5,6,40,High
65,5,2,6,73,Low
76,6,2,7,80,Low
69,5,2,6,83,Low
78,2,2,4,51,Medium
65,1,1,5,40,Medium
94,6,4,6,83,Medium
69,0,4,8,40,High
67,5,4,2,52,Medium
76,5,2,5,73,Low
79,4,0,4,83,Low
82,7,4,5,81,Low
73,4,3,5,57,Low
66,5,5,5,57,Medium
67,5,1,7,80,Low
67,5,5,3,49,Medium
83,3,0,8,85,Low
69,6,4,7,77,Medium
74,6,1,3,87,Low
89,3,2,3,59,Low
70,2,3,6,40,Medium
100,4,1,10,91,Low
77,6,3,4,73,Low
65,4,1,2,65,Low
62,4,2,2,51,Low
92,5,1,4,78,Low
75,4,2,4,59,Low
85,4,1,9,92,Low
84,5,3,4,72,Low
81,1,1,8,56,Medium
71,2,0,5,60,Low
74,4,4,5,55,Medium
81,6,1,5,93,Low
75,2,0,6,60,Low
75,3,2,3,55,Low
73,2,3,4,45,Medium
75,5,1,2,73,Low
81,4,2,2,67,Low
82,3,2,2,52,Medium
75,5,0,4,83,Low
74,5,2,9,77,Low
59,0,2,5,40,Medium
100,4,3,4,68,Low
71,7,4,5,68,Low
100,4,4,8,76,Medium
51,5,1,5,66,Low
75,4,0,7,83,Low
74,4,2,8,73,Low
64,5,2,4,59,Medium
63,3,3,3,40,Medium
82,3,6,3,40,High
77,3,3,3,45,Low
53,3,2,4,57,Medium
72,1,1,4,42,Medium
68,3,1,5,68,Low
88,3,0,6,69,Low
51,6,3,2,53,Medium
68,3,0,4,61,Low
61,2,3,7,40,Medium
75,6,2,1,68,Low
66,3,2,1,56,Low
80,4,4,6,60,Medium
83,1,3,3,43,Medium
81,4,0,3,79,Low
87,5,1,3,80,Low
92,5,4,2,67,Medium
62,5,2,2,64,Medium
69,6,0,2,80,Low
68,5,3,7,74,Medium
71,7,1,9,100,Low
89,4,3,7,77,Medium
85,4,3,1,56,Medium
92,5,2,6,77,Low
95,5,4,4,60,Medium
79,3,3,6,57,Medium
84,4,4,3,59,Medium
64,3,1,4,58,Low
72,2,4,3,40,Medium
77,6,3,3,83,Low
74,5,2,6,91,Low
72,4,4,2,40,Medium
59,3,3,3,40,Medium
84,1,3,7,54,Medium
97,3,2,4,68,Medium
62,3,4,7,45,Medium
78,6,2,7,100,Low
75,5,1,10,94,Low
67,6,3,4,70,Low
77,5,5,3,49,Medium
62,6,4,6,74,Medium
74,4,2,2,57,Low
82,4,2,3,67,Low
64,4,2,4,54,Medium
64,5,1,7,91,Low
80,3,4,2,47,Medium
73,2,3,3,45,Medium
74,4,1,5,83,Low
87,6,1,2,89,Low
94,4,1,3,79,Low
75,5,1,5,82,Low
81,4,2,4,57,Medium
94,3,1,3,68,Low
73,3,2,2,46,Medium
62,2,4,4,40,High
73,5,1,5,77,Low
78,4,2,3,67,Medium
85,4,0,9,89,Low
79,6,2,8,96,Low
68,5,0,5,78,Low
72,3,1,3,71,Medium
63,6,1,5,85,Low
85,4,1,2,64,Low
75,2,2,8,69,Medium
